instruction,input,output
"Describe what happens next in ""Family Guy"".","Peter, Lois, Chris, Meg, Brian, and Stewie walk into the exquisite movie theater.","They have just ordered their tickets for the movie."
"Respond as USHER from ""Family Guy"" would.","They have just ordered their tickets for the movie.,Here are your tickets.  Enjoy your movie."
"Continue the conversation in the style of ""Family Guy"".","They have just ordered their tickets for the movie.,Here are your tickets.  Enjoy your movie."
"Respond as LOIS from ""Family Guy"" would.",They have just ordered their tickets for the movie. Here are your tickets.  Enjoy your movie.,"Ok, kids, you guys go and save us a seat while we get the food. Oh, Peter.  It sure is nice to go out and do something as a family again."
"Continue the conversation in the style of ""Family Guy"".",They have just ordered their tickets for the movie. Here are your tickets.  Enjoy your movie.,"Ok, kids, you guys go and save us a seat while we get the food. Oh, Peter.  It sure is nice to go out and do something as a family again."
"Respond as PETER from ""Family Guy"" would.","They have just ordered their tickets for the movie. Ok, kids, you guys go and save us a seat while we get the food. Oh, Peter.  It sure is nice to go out and do something as a family again.","Yeah.  We haven't been to the movies in a long time."
"Continue the conversation in the style of ""Family Guy"".","They have just ordered their tickets for the movie. Ok, kids, you guys go and save us a seat while we get the food. Oh, Peter.  It sure is nice to go out and do something as a family again.","Yeah.  We haven't been to the movies in a long time."
"Respond as BRIAN from ""Family Guy"" would.","They have just ordered their tickets for the movie. Yeah.  We haven't been to the movies in a long time.,It's no wonder.  You remember the last time we all went to the movies?"
"Continue the conversation in the style of ""Family Guy"".","They have just ordered their tickets for the movie. Yeah.  We haven't been to the movies in a long time.,It's no wonder.  You remember the last time we all went to the movies?"
"Describe what happens next in ""Family Guy"".","They have just ordered their tickets for the movie. It's no wonder.  You remember the last time we all went to the movies?,There's a silence and moment of motionlessness."
"Respond as PETER from ""Family Guy"" would.",There's a silence and moment of motionlessness. It's no wonder.  You remember the last time we all went to the movies?,"Uh, yeah.  It seems like it was only yesterday..."
"Continue the conversation in the style of ""Family Guy"".",There's a silence and moment of motionlessness. It's no wonder.  You remember the last time we all went to the movies?,"Uh, yeah.  It seems like it was only yesterday..."
"Describe what happens next in ""Family Guy"".","There's a silence and moment of motionlessness. Uh, yeah.  It seems like it was only yesterday...","Another silence."
"Respond as PETER from ""Family Guy"" would.","Another silence. Uh, yeah.  It seems like it was only yesterday...","Ok, why isn't it showing the flashback?"
"Continue the conversation in the style of ""Family Guy"".","Another silence. Uh, yeah.  It seems like it was only yesterday...","Ok, why isn't it showing the flashback?"
"Respond as LOIS from ""Family Guy"" would.","Another silence. Ok, why isn't it showing the flashback?","It's probably just a technical error, Peter.  I'm sure they'll have it working in no time."
"Continue the conversation in the style of ""Family Guy"".","Another silence. Ok, why isn't it showing the flashback?","It's probably just a technical error, Peter.  I'm sure they'll have it working in no time."
"Describe what happens next in ""Family Guy"".","Another silence. It's probably just a technical error, Peter.  I'm sure they'll have it working in no time.","Silence.  Brian, Peter, and Lois wait for the flashback to come on.  Nothing."
"Respond as PETER from ""Family Guy"" would.","Silence.  Brian, Peter, and Lois wait for the flashback to come on.  Nothing. It's probably just a technical error, Peter.  I'm sure they'll have it working in no time.","Damn this network.  Always screwing up our lives. How the hell are we going to tell our story if we can't even have one flashback? This is just like the time I started that petition to bring back Butt Ugly Martians. There's no flashback."
"Continue the conversation in the style of ""Family Guy"".","Silence.  Brian, Peter, and Lois wait for the flashback to come on.  Nothing. It's probably just a technical error, Peter.  I'm sure they'll have it working in no time.","Damn this network.  Always screwing up our lives. How the hell are we going to tell our story if we can't even have one flashback? This is just like the time I started that petition to bring back Butt Ugly Martians. There's no flashback."
"Respond as PETER from ""Family Guy"" would.","Silence.  Brian, Peter, and Lois wait for the flashback to come on.  Nothing. Damn this network.  Always screwing up our lives. How the hell are we going to tell our story if we can't even have one flashback? This is just like the time I started that petition to bring back Butt Ugly Martians. There's no flashback.","That's it.  I quit... The opening theme starts."
"Continue the conversation in the style of ""Family Guy"".","Silence.  Brian, Peter, and Lois wait for the flashback to come on.  Nothing. Damn this network.  Always screwing up our lives. How the hell are we going to tell our story if we can't even have one flashback? This is just like the time I started that petition to bring back Butt Ugly Martians. There's no flashback.","That's it.  I quit... The opening theme starts."
"Describe what happens next in ""Family Guy"".","Silence.  Brian, Peter, and Lois wait for the flashback to come on.  Nothing. That's it.  I quit... The opening theme starts.","Chris and Meg, who is carrying Stewie, are ordering some food for the movie."
"Respond as MEG from ""Family Guy"" would.","Chris and Meg, who is carrying Stewie, are ordering some food for the movie. That's it.  I quit... The opening theme starts.","Yeah, can I get one large popcorn with extra butter, two medium cokes, and some Twizzlers?"
"Continue the conversation in the style of ""Family Guy"".","Chris and Meg, who is carrying Stewie, are ordering some food for the movie. That's it.  I quit... The opening theme starts.","Yeah, can I get one large popcorn with extra butter, two medium cokes, and some Twizzlers?"
